price,bedrooms_number,batchrooms_number,square_footage_home,square_footage_lot,floors_number,has_waterfront,has_been_viewed,condition_quality,housing_unity_grade,square_footage_except_basement,square_footage_only_basement,build_year,renovation_year,coordinate_latitude,coordinate_longitude,square_footage_home_old,square_footage_lot_old
220.0,4,2.5,1700,6675,2.0,0,0,3,7,1700,0,1997,0,200.3638,4.947000000000003,1570,7540
1210.0,4,3.5,3150,5500,2.0,0,0,3,9,3150,0,2014,0,200.6644,4.707000000000008,1550,4200
889.7439999999999,4,3.5,4210,9414,2.0,0,0,3,9,4210,0,2001,0,200.6067,4.977999999999994,3950,8880
1105.0,2,1.75,2050,11900,1.0,0,0,4,8,2050,0,1950,0,200.6209,4.781000000000006,2980,11900
533.0,5,1.75,2140,8580,1.0,0,0,3,7,1200,940,1962,0,200.6625,4.822000000000003,1600,9206
470.0,2,1.5,1220,1120,2.5,0,0,3,8,1110,110,2008,0,200.6374,4.612000000000009,2010,3175
320.0,4,2.5,2780,3969,2.0,0,0,3,7,2780,0,2005,0,200.3992,4.8359999999999985,2260,4160
450.0,4,1.75,2430,13211,1.5,0,0,4,7,2430,0,1909,1978,200.5245,5.073999999999998,1330,10500
560.0,3,2.5,1940,3211,2.0,0,0,3,8,1940,0,2009,0,200.5644,4.907000000000012,1880,3078
390.0,6,4.0,2700,7416,1.0,0,0,3,7,1350,1350,1969,0,200.5525,4.700000000000003,2260,5324
205.0,3,1.0,1050,5000,1.0,0,0,4,6,1050,0,1967,0,200.4923,4.834999999999994,1050,5200
564.95,5,2.75,2990,6370,2.0,0,0,3,8,2990,0,2014,0,200.4853,4.8460000000000045,2730,5740
284.5,4,2.5,1613,4338,2.0,0,0,3,7,1613,0,2009,0,200.3859,4.837999999999994,1427,4341
1143.99,5,3.5,4280,6530,2.0,0,3,3,10,4280,0,2014,0,200.5941,5.027000000000001,3960,6863
295.0,3,2.0,1550,18958,1.5,0,0,3,7,1550,0,1983,0,200.3699,4.680999999999997,1840,12826
218.0,3,1.75,1200,55321,1.5,0,0,5,7,1200,0,1977,0,200.3492,5.064999999999999,1910,54450
1580.0,3,2.0,3620,14250,2.0,0,0,3,8,3220,400,2007,0,200.5767,4.775000000000006,2370,14250
364.95,4,3.25,2290,4785,2.0,0,0,3,9,2290,0,2007,0,200.3833,4.962999999999994,2290,4785
440.0,4,2.5,2060,10125,2.0,0,0,4,7,1560,500,1979,0,200.764,4.738,1760,9876
661.0,3,1.75,1480,7475,1.5,0,0,3,8,1480,0,1943,0,200.6732,4.727999999999994,2120,7216
463.0,4,1.5,1550,3000,1.5,0,0,3,7,1350,200,1918,0,200.6604,4.676000000000002,1710,5535
454.95,3,1.75,1470,7590,1.0,0,0,3,7,1470,0,1988,0,200.6964,4.637999999999991,1700,5080
605.0,4,2.75,2810,17674,1.0,0,0,4,8,1640,1170,1978,0,200.6745,4.856000000000009,2400,11240
285.0,5,2.0,2110,7919,1.0,0,0,3,7,1110,1000,1966,0,200.5164,4.732999999999991,1590,5250
425.0,3,2.5,1770,3993,2.0,0,0,3,8,1770,0,1999,0,200.6027,4.980000000000004,1820,4046
510.0,4,2.5,2780,6369,1.0,0,0,3,8,1590,1190,1978,0,200.7284,4.783999999999992,2170,7490
424.0,4,2.0,2180,10447,1.0,0,0,4,8,1280,900,1969,0,200.7675,4.7210000000000045,2190,10987
360.0,3,1.75,2370,9750,1.0,0,0,4,7,1280,1090,1979,0,200.4459,5.227000000000004,1230,9775
281.0,3,1.0,870,8040,1.0,0,0,3,7,870,0,1953,0,200.7048,4.632000000000005,1440,8040
180.0,3,1.0,1280,7572,1.0,0,0,4,6,1280,0,1958,0,200.4491,4.823999999999998,1170,7667
284.9,3,2.0,1410,6600,1.0,0,0,4,7,1410,0,1990,0,200.3596,4.911000000000001,1750,7150
599.0,4,2.75,2720,4613,2.0,0,0,3,9,2720,0,2005,0,200.7352,4.777000000000001,2830,4836
330.0,4,3.25,2800,5291,2.0,0,0,3,7,2800,0,2011,0,200.1937,5.022999999999996,2380,5291
1000.0,3,2.25,3200,3800,2.0,0,0,5,9,2650,550,1914,0,200.638,4.682999999999994,2400,3900
529.95,2,2.5,1830,2856,2.0,0,0,3,7,1830,0,2005,0,200.5524,5.003999999999991,1850,2667
435.0,3,2.5,1400,7508,2.0,0,0,4,7,1400,0,1987,0,200.7233,4.832999999999998,1710,7700
855.0,5,3.5,3450,28324,1.0,0,0,5,8,2350,1100,1972,0,200.6991,4.804000000000002,2640,14978
350.0,4,2.5,2331,3826,2.0,0,0,3,8,2331,0,2007,0,200.4444,4.817999999999998,2441,3826
185.0,4,1.5,1740,7292,1.0,0,0,3,7,1020,720,1962,0,200.4787,4.697999999999993,1740,7573
955.0,3,3.0,4040,14338,2.0,0,0,3,10,3030,1010,1986,0,200.7268,4.939999999999999,3360,14142
680.0,4,3.5,2550,3600,2.0,0,2,3,8,1880,670,1997,0,200.7709,4.609999999999999,2090,6000
325.0,4,1.5,1100,11824,1.0,0,0,4,7,1100,0,1954,0,200.5704,4.858999999999996,1380,11796
2192.73,4,4.5,4240,13162,2.0,0,0,3,10,4240,0,2004,0,200.6193,4.771000000000001,3010,12163
1105.0,3,2.75,2640,4050,1.5,0,0,5,8,1750,890,1926,0,200.6332,4.718999999999994,1920,3600
325.0,3,1.0,1330,5850,1.0,0,0,3,7,930,400,1954,0,200.5498,4.702000000000012,1440,5850
246.0,3,2.0,1520,7131,1.0,0,0,3,8,1520,0,1993,0,200.3061,4.638999999999996,1890,7379
520.0,3,2.5,2010,7200,2.0,0,0,3,8,2010,0,1994,0,200.7372,4.777000000000001,1970,7202
500.0,4,2.25,2350,10072,2.0,0,0,3,8,2350,0,1980,0,200.7628,4.832000000000008,2210,9687
721.0,4,2.25,2480,9780,1.0,0,0,4,8,1900,580,1975,0,200.6388,4.9010000000000105,2640,9780
357.0,3,2.25,1640,11050,1.0,0,0,4,8,1640,0,1972,0,200.4723,4.878999999999991,1870,11050
688.5,3,1.5,1820,5756,1.5,0,0,3,7,1640,180,1946,0,200.6479,4.632999999999996,1760,6169
270.0,2,2.0,1650,8975,1.0,0,0,5,6,1650,0,1942,0,200.5073,4.6400000000000015,1260,8668
577.0,3,1.75,1850,22767,1.5,0,4,5,6,1850,0,1908,0,200.6144,4.932999999999994,2700,17906
535.0,3,3.25,1510,1125,3.0,0,0,3,8,1510,0,2006,0,200.6711,4.609999999999999,1390,1174
430.0,3,2.5,2670,13218,1.0,0,0,4,10,2670,0,1988,0,200.3683,4.847000000000008,1960,13130
335.0,5,2.5,2600,3839,2.0,0,0,3,7,2600,0,2005,0,200.4324,4.855000000000004,2180,4800
500.0,4,2.5,2980,12075,1.0,0,0,3,8,1910,1070,2007,0,200.5074,4.827999999999988,2240,12075
444.0,3,2.5,3180,7904,1.0,0,0,3,8,1810,1370,2006,0,200.489,4.819000000000003,1950,7800
245.0,3,2.0,1190,10299,1.0,0,0,3,7,1190,0,1994,0,200.314,5.0,1700,9849
330.0,3,2.5,1880,6818,2.0,0,0,3,8,1880,0,1993,0,200.4206,4.817000000000006,1970,7000
450.0,4,2.0,1700,21780,1.0,0,0,4,6,1080,620,1940,0,200.6289,4.892000000000009,2070,12054
290.0,4,2.5,2434,4400,2.0,0,0,3,8,2434,0,2007,0,200.2874,4.717000000000013,2434,4400
236.0,4,1.0,1220,5120,1.5,0,0,5,6,1220,0,1940,0,200.205,5.003999999999991,1540,7670
487.0,3,3.25,1380,1120,3.0,0,0,3,8,1380,0,2008,0,200.6617,4.6510000000000105,1310,1405
684.0,4,3.5,3420,49223,2.0,0,0,3,9,3420,0,2004,0,200.3534,5.007999999999996,3580,49223
580.0,3,1.75,1530,6743,1.0,0,0,3,7,1410,120,1955,0,200.5745,4.603999999999999,2040,6000
450.5,4,1.5,2210,10497,1.0,0,0,4,8,1650,560,1953,0,200.4321,4.6529999999999925,1840,12697
525.0,4,1.0,2080,3500,1.5,0,0,5,7,1260,820,1926,0,200.5445,4.617000000000004,1380,5900
1155.0,5,2.5,3580,8921,2.0,0,0,3,9,3580,0,2000,0,200.693,4.7979999999999885,2710,9308
311.0,3,1.0,910,8658,1.0,0,0,3,7,910,0,1955,0,200.7586,4.697000000000003,1170,10200
443.0,4,2.5,1970,8545,2.0,0,0,3,8,1970,0,2004,0,200.4893,4.862000000000009,2590,7200
386.0,3,2.5,1470,3999,2.0,0,0,3,7,1470,0,2003,0,200.5328,5.128999999999991,1960,4444
181.0,2,1.0,770,5200,1.0,0,0,5,6,770,0,1969,0,200.3627,4.912999999999997,1150,5330
510.0,3,1.75,1640,10695,1.0,0,2,3,8,1640,0,1975,0,200.7145,4.7779999999999925,2790,9775
655.0,3,2.5,2220,6380,1.5,0,0,4,8,1660,560,1931,0,200.6974,4.687000000000012,950,6380
355.0,2,1.0,940,5000,1.0,0,0,3,7,940,0,1950,0,200.7518,4.7210000000000045,1800,7400
365.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,200.349,4.968999999999994,1870,6405
435.0,3,1.5,1550,5034,2.0,0,0,4,7,1550,0,1922,0,200.7072,4.6400000000000015,1820,7200
440.0,3,1.0,1180,4219,1.0,0,0,3,7,1060,120,1939,0,200.6867,4.622000000000014,1630,4219
235.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,0,200.7481,4.700000000000003,1570,10228
560.0,4,2.25,3330,21785,2.0,0,0,3,9,3330,0,1994,0,200.4725,4.86399999999999,3330,21796
626.5,5,2.5,2140,15950,1.0,0,2,4,8,1370,770,1968,0,200.4797,4.642000000000009,2600,14273
760.0,3,2.75,2870,6600,2.0,0,2,3,8,2870,0,1984,0,200.5745,4.8870000000000005,2570,7925
901.0,4,1.75,2660,3520,2.0,0,0,4,8,2080,580,1917,0,200.6743,4.692000000000006,2100,4080
540.5,3,2.5,2050,4976,2.0,0,0,3,8,2050,0,1994,0,200.5689,5.0049999999999955,2050,5153
588.0,4,2.5,2660,4000,2.0,0,0,3,8,2660,0,2001,0,200.6876,4.962000000000003,2330,4517
350.0,2,1.0,1130,8081,1.0,0,0,4,7,1130,0,1921,0,200.7064,4.644999999999996,1220,7800
370.0,3,1.5,1520,8519,1.0,0,0,3,7,1520,0,1954,0,200.7712,4.661000000000001,1570,9000
310.5,3,1.0,1240,6090,1.0,0,0,4,7,1240,0,1950,0,200.7542,4.692999999999998,1550,9096
685.0,3,2.25,2270,23900,1.0,0,0,3,9,1820,450,1975,0,200.7506,4.627999999999986,2520,28300
410.0,2,2.5,1790,5400,2.0,0,0,4,8,1790,0,1979,0,200.6606,4.872000000000014,1700,5760
262.5,3,1.5,1210,12500,1.0,0,0,3,7,1210,0,1962,0,200.503,4.649000000000001,1210,12500
1165.0,5,1.75,2870,9680,1.0,0,4,5,9,1440,1430,1966,0,200.6122,4.888999999999996,2940,9729
485.0,2,1.0,710,4800,1.0,0,0,2,6,710,0,1950,0,200.6212,4.702000000000012,1480,1721
680.0,4,3.0,2780,5000,1.5,0,0,5,7,1710,1070,1919,0,200.5721,4.619,1150,5000
387.45,3,2.5,2220,20531,2.0,0,0,3,8,2220,0,1998,0,200.2864,4.736000000000004,2420,19249
620.0,3,2.5,1910,3427,2.0,0,0,3,8,1910,0,2001,0,200.6324,4.8900000000000015,2240,3720
305.0,3,1.75,1210,7000,1.0,0,0,3,7,1210,0,1975,0,200.4572,4.831000000000003,1670,7000
355.0,3,1.75,1900,10225,1.0,0,0,4,8,1220,680,1963,0,200.4781,4.6429999999999865,1850,12630
381.0,2,1.0,1150,4000,1.0,0,0,3,7,1150,0,1947,0,200.6575,4.606000000000009,1150,4288
291.0,2,1.5,1010,825,3.0,0,0,3,7,1010,0,2007,0,200.7124,4.698999999999998,1128,1080
432.0,3,2.0,1720,128066,1.0,0,0,3,7,1720,0,1994,0,200.4487,5.018999999999991,2360,111078
534.999,3,2.5,1710,1664,2.0,0,0,5,8,1300,410,2003,0,200.6456,4.617000000000004,1470,5400
413.0,3,3.0,1500,1473,2.0,0,0,3,8,1120,380,2000,0,200.6063,4.694999999999993,1720,1976
670.0,3,2.5,2330,15536,1.0,0,2,3,10,2330,0,1996,0,200.655,4.912999999999997,3320,17461
421.5,3,1.0,1100,4184,1.0,0,0,4,7,1100,0,1965,0,200.5309,4.617999999999995,1630,4366
570.0,4,2.0,2070,7980,1.5,0,0,4,7,2070,0,1940,0,200.5092,4.61399999999999,1600,7980
425.0,6,3.0,2290,6344,2.0,0,0,3,7,2290,0,1980,0,200.565,4.6299999999999955,1360,3202
400.0,1,1.0,730,3000,1.0,0,0,3,7,730,0,1911,0,200.6741,4.603999999999999,1520,5000
218.55,3,2.5,1580,8541,2.0,0,0,3,7,1580,0,1990,0,200.3334,4.7109999999999985,1640,7542
554.9,5,3.0,3800,42316,1.5,0,0,4,9,3800,0,1984,0,200.3488,4.905000000000001,2580,35775
855.0,4,3.0,3330,4000,1.0,0,0,3,8,1790,1540,1958,0,200.6559,4.656000000000006,1610,4000
775.1260000000001,4,2.75,2390,9300,1.0,0,0,3,8,1430,960,1979,0,200.6035,4.793999999999997,1910,9348
1740.0,4,2.25,3040,5000,2.0,0,3,4,9,2080,960,1926,0,200.6565,4.722000000000008,2870,5000
480.0,3,2.0,1880,9659,1.0,0,0,3,8,1180,700,1951,0,200.7497,4.716000000000008,1780,9659
835.0,3,3.0,2080,10521,1.5,0,0,3,9,2080,0,2004,0,200.6987,4.772000000000006,3730,11840
165.0,3,1.0,1060,8000,1.0,0,0,4,6,1060,0,1927,0,200.305,4.782000000000012,1060,4697
337.0,4,2.5,2300,4482,2.0,0,0,3,7,2300,0,2013,0,200.3599,4.917999999999992,2300,3825
